code,name,latitude,longitude
akmenes-ams,Akmenės,56.24992,22.73081
alytaus-ams,Alytaus,54.412435,24.063274
anyksciu-ams,Anykščių,55.51735,25.1178
birstono-ams,Birštono,54.603217,24.035802
birzu-ams,Biržų,56.193191,24.774184
dotnuvos-ams,Dotnuvos,55.395993,23.866224
druskininku-ams,Druskininkų,54.018202,23.980791
duksto-ams,Dūkšto,55.517856,26.31614
elektrenu-ams,Elektrėnų,54.786161,24.689854
jonavos-ams,Jonavos,55.06913,24.277147
joniskio-ams,Joniškio,56.246354,23.630755
jurbarko-ams,Jurbarko,55.094064,22.773518
kaisiadoriu-ams,Kaišiadorių,54.856942,24.437842
kalvarijos-ams,Kalvarijos,54.421564,23.216806
kauno-ams,Kauno,54.88396,23.83588
kazlu-rudos-ams,Kazlų Rūdos,54.699852,23.514815
kelmes-ams,Kelmės,55.629044,22.934568
klaipedos-ams,Klaipėdos,55.73135,21.09157
kretingos-ams,Kretingos,55.894089,21.27306
kupiskio-ams,Kupiškio,55.851591,24.909266
kybartu-ams,Kybartų,54.633167,22.783011
laukuvos-ams,Laukuvos,55.60886,22.239463
lazdiju-ams,Lazdijų,54.23221,23.51068
marijampoles-ams,Marijampolės,54.528855,23.35181
mazeikiu-ams,Mažeikių,56.353885,22.317683
moletu-ams,Molėtų,55.235244,25.416378
nidos-ams,Nidos,55.30221,21.00736
pagegiu-ams,Pagėgių,55.140898,21.950386
pakruojo-ams,Pakruojo,56.083488,23.902854
panevezio-ams,Panevėžio,55.735154,24.417184
plunges-ams,Plungės,55.907014,21.866687
prienu-ams,Prienų,54.7291,24.0525
raseiniu-ams,Raseinių,55.394569,23.133073
rietavo-ams,Rietavo,55.718091,21.958142
rokiskio-ams,Rokiškio,55.95498,25.59149
sakiu-ams,Šakių,54.94907,23.036425
salcininku-ams,Šalčininkų,54.31038,25.374422
seduvos-ams,Šeduvos,55.75466,23.74245
siauliu-ams,Šiaulių,55.942222,23.331111
silutes-ams,Šilutės,55.352222,21.446944
skuodo-ams,Skuodo,56.277213,21.513962
svencioniu-ams,Švenčionių,55.132777,26.172895
taurages-ams,Tauragės,55.256786,22.27802
telsiu-ams,Telšių,55.991245,22.256657
traku-ams,Trakų,54.615924,24.785292
ukmerges-ams,Ukmergės,55.264145,24.760335
utenos-ams,Utenos,55.515321,25.589692
varenos-ams,Varėnos,54.248271,24.55176
ventes-ams,Ventės,55.340853,21.189682
vezaiciu-ams,Vėžaičių,55.7205,21.4743
vilniaus-ams,Vilniaus,54.625992,25.107064
zarasu-ams,Zarasų,55.742673,26.250977
